timestamp,temp,humidity,feels_like,wind_speed
20241206_0800,6.38,76.0,2.22,7.2
20241206_0900,6.5,77.0,4.54,2.68
20241206_1000,7.27,75.0,3.91,5.66
20241206_1100,8.22,74.0,5.31,5.14
20241206_1200,8.98,72.0,6.47,4.63
20241206_1300,9.42,70.0,7.76,3.09
20241206_1400,9.39,70.0,7.45,3.6
20241206_1500,9.21,70.0,6.98,4.12
20241206_1600,8.54,73.0,6.7,3.09
20241206_1700,8.35,73.0,6.47,3.09
20241206_1800,8.2,76.0,6.29,3.09
20241206_1900,8.56,79.0,6.7,3.13
20241206_2000,9.19,83.0,7.46,3.13
20241206_2100,9.24,87.0,6.5,5.36
20241206_2200,9.2,89.0,6.0,6.69
20241206_2300,10.41,90.0,9.86,6.71
20241207_0000,11.61,90.0,11.18,7.72
20241207_0100,12.26,90.0,11.89,5.36
20241207_0200,12.2,83.0,11.64,7.2
20241207_0300,11.6,80.0,10.9,7.72
20241207_0400,10.98,75.0,10.09,6.26
20241207_0500,10.56,75.0,9.63,9.26
20241207_0600,9.68,74.0,5.73,10.29
20241207_0700,9.24,76.0,5.04,10.8
20241207_0800,8.96,73.0,4.26,12.86
20241207_0900,7.52,81.0,2.22,13.38
20241207_1000,6.38,87.0,0.88,12.35
20241207_1100,6.37,88.0,1.09,11.32
20241207_1200,6.67,89.0,1.73,10.29
20241207_1300,6.42,89.0,1.66,9.26
20241207_1400,6.36,89.0,1.45,9.77
20241207_1500,6.43,88.0,1.81,8.75
20241207_1600,6.43,88.0,1.81,8.75
20241207_1700,6.73,84.0,2.07,9.26
20241207_1800,6.77,83.0,1.86,10.29
20241207_1900,6.84,82.0,1.96,10.29
20241207_2000,7.13,80.0,2.47,9.77
20241207_2100,7.41,78.0,3.1,8.75
20241207_2200,7.02,81.0,2.73,8.23
20241207_2300,7.05,81.0,2.92,7.72
20241208_0000,6.36,85.0,2.19,7.2
20241208_0100,6.5,88.0,2.74,6.17
20241208_0200,7.13,87.0,3.54,6.17
20241208_0300,7.16,87.0,2.77,8.75
20241208_0400,7.35,86.0,2.52,10.8
20241208_0500,7.52,84.0,2.98,9.77
20241208_0600,7.14,86.0,2.74,8.75
20241208_0700,6.9,87.0,2.73,7.72
20241208_0800,6.61,87.0,2.35,7.72
20241208_0900,6.25,88.0,1.88,7.72
20241208_1000,6.5,87.0,2.55,6.69
20241208_1100,6.19,88.0,1.97,7.2
20241208_1200,6.33,89.0,2.16,7.2
20241208_1300,6.73,88.0,2.67,7.2
20241208_1400,7.11,87.0,2.85,8.23
20241208_1500,7.27,86.0,3.37,7.2
20241208_1600,6.9,88.0,4.18,4.02
20241208_1700,7.08,87.0,3.67,5.66
20241208_1800,7.38,88.0,3.85,6.17
20241208_1900,7.51,90.0,4.88,4.12
20241208_2000,8.02,88.0,5.51,4.12
20241208_2100,8.29,87.0,5.84,4.12
20241208_2200,8.34,84.0,4.9,6.69
20241208_2300,7.87,84.0,4.87,5.14
20241209_0000,7.65,83.0,4.39,5.66
20241209_0100,7.66,84.0,4.82,4.63
20241209_0200,7.72,84.0,4.68,5.14
20241209_0300,7.68,84.0,5.36,3.6
20241209_0400,7.47,86.0,5.39,3.13
20241209_0500,7.39,86.0,4.49,4.63
20241209_0600,7.37,84.0,4.99,3.6
20241209_0700,7.2,84.0,4.78,3.6
20241209_0800,6.89,84.0,3.94,4.47
20241209_0900,6.71,83.0,4.18,3.6
20241209_1000,7.12,82.0,4.15,4.63
20241209_1100,7.38,80.0,3.85,6.17
20241209_1200,7.7,79.0,4.08,6.69
20241209_1300,7.9,79.0,4.18,7.2
20241209_1400,7.67,79.0,4.41,5.66
20241209_1500,7.39,83.0,4.49,4.63
20241209_1600,7.75,83.0,4.33,6.17
20241209_1700,8.05,81.0,4.71,6.17
20241209_1800,8.02,80.0,4.03,8.23
20241209_1900,8.0,79.0,4.15,7.72
20241209_2000,7.83,80.0,4.25,6.69
20241209_2100,7.75,79.0,3.98,7.2
20241209_2200,7.45,79.0,3.76,6.69
20241209_2300,7.31,77.0,3.42,7.2
20241210_0000,6.92,81.0,2.75,7.72
20241210_0100,6.65,84.0,2.93,6.17
20241210_0200,6.26,87.0,2.43,6.17
20241210_0300,6.2,88.0,2.77,5.14
20241210_0400,6.1,89.0,2.65,5.14
20241210_0500,6.0,89.0,2.1,6.17
20241210_0600,5.95,89.0,2.24,5.66
20241210_0700,6.01,89.0,2.31,5.66
20241210_0800,5.9,89.0,2.17,5.66
