timestamp,main,wind
20241206_0800,"{grnd_level: 1013, temp_max: 7.1, pressure: 1018, temp: 6.38, temp_min: 5.03, sea_level: 1018, humidity: 76, feels_like: 2.22}","{speed: 7.2, deg: 270}"
20241206_0900,"{pressure: 1018, temp_min: 5.03, humidity: 77, grnd_level: 1014, sea_level: 1018, feels_like: 4.54, temp: 6.5, temp_max: 7.32}","{gust: 4.02, deg: 259, speed: 2.68}"
20241206_1000,"{pressure: 1019, temp_min: 5.85, humidity: 75, grnd_level: 1015, sea_level: 1019, feels_like: 3.91, temp: 7.27, temp_max: 8.43}","{deg: 260, speed: 5.66}"
20241206_1100,"{pressure: 1020, temp_min: 7.48, humidity: 74, grnd_level: 1015, sea_level: 1020, feels_like: 5.31, temp: 8.22, temp_max: 8.9}","{deg: 260, speed: 5.14}"
20241206_1200,"{pressure: 1019, temp_min: 7.9, humidity: 72, grnd_level: 1015, sea_level: 1019, feels_like: 6.47, temp: 8.98, temp_max: 9.99}","{deg: 250, speed: 4.63}"
20241206_1300,"{pressure: 1019, temp_min: 8.61, humidity: 70, grnd_level: 1015, sea_level: 1019, feels_like: 7.76, temp: 9.42, temp_max: 10.05}","{deg: 260, speed: 3.09}"
20241206_1400,"{pressure: 1018, temp_min: 8.56, humidity: 70, grnd_level: 1014, sea_level: 1018, feels_like: 7.45, temp: 9.39, temp_max: 10.46}","{deg: 230, speed: 3.6}"
20241206_1500,"{pressure: 1017, temp_min: 8.63, humidity: 70, grnd_level: 1013, sea_level: 1017, feels_like: 6.98, temp: 9.21, temp_max: 9.73}","{deg: 240, speed: 4.12}"
20241206_1600,"{pressure: 1017, temp_min: 7.77, humidity: 73, grnd_level: 1013, sea_level: 1017, feels_like: 6.7, temp: 8.54, temp_max: 9.01}","{deg: 210, speed: 3.09}"
20241206_1700,"{pressure: 1016, temp_min: 7.21, humidity: 73, grnd_level: 1012, sea_level: 1016, feels_like: 6.47, temp: 8.35, temp_max: 8.93}","{deg: 180, speed: 3.09}"
20241206_1800,"{pressure: 1014, temp_min: 7.29, humidity: 76, grnd_level: 1009, sea_level: 1014, feels_like: 6.29, temp: 8.2, temp_max: 8.63}","{deg: 160, speed: 3.09}"
20241206_1900,"{pressure: 1012, temp_min: 7.58, humidity: 79, grnd_level: 1008, sea_level: 1012, feels_like: 6.7, temp: 8.56, temp_max: 8.99}","{gust: 5.36, deg: 228, speed: 3.13}"
20241206_2000,"{pressure: 1010, temp_min: 8.14, humidity: 83, grnd_level: 1006, sea_level: 1010, feels_like: 7.46, temp: 9.19, temp_max: 9.73}","{gust: 8.94, deg: 230, speed: 3.13}"
20241206_2100,"{pressure: 1007, temp_min: 8.38, humidity: 87, grnd_level: 1003, sea_level: 1007, feels_like: 6.5, temp: 9.24, temp_max: 10.02}","{gust: 11.62, deg: 227, speed: 5.36}"
20241206_2200,"{pressure: 1005, temp_min: 8.61, humidity: 89, grnd_level: 1001, sea_level: 1005, feels_like: 6, temp: 9.2, temp_max: 10.28}","{deg: 180, speed: 6.69}"
20241206_2300,"{pressure: 1001, temp_min: 9.88, humidity: 90, grnd_level: 997, sea_level: 1001, feels_like: 9.86, temp: 10.41, temp_max: 11.42}","{gust: 11.18, deg: 228, speed: 6.71}"
20241207_0000,"{pressure: 998, temp_min: 11, humidity: 90, grnd_level: 994, sea_level: 998, feels_like: 11.18, temp: 11.61, temp_max: 11.96}","{gust: 13.89, deg: 180, speed: 7.72}"
20241207_0100,"{pressure: 997, temp_min: 11.7, humidity: 90, grnd_level: 992, sea_level: 997, feels_like: 11.89, temp: 12.26, temp_max: 13.08}","{gust: 16.54, deg: 236, speed: 5.36}"
20241207_0200,"{pressure: 995, temp_min: 11.12, humidity: 83, grnd_level: 991, sea_level: 995, feels_like: 11.64, temp: 12.2, temp_max: 13}","{gust: 14.92, deg: 220, speed: 7.2}"
20241207_0300,"{pressure: 994, temp_min: 10.59, humidity: 80, grnd_level: 990, sea_level: 994, feels_like: 10.9, temp: 11.6, temp_max: 12.32}","{gust: 13.89, deg: 220, speed: 7.72}"
20241207_0400,"{pressure: 993, temp_min: 10.03, humidity: 75, grnd_level: 989, sea_level: 993, feels_like: 10.09, temp: 10.98, temp_max: 11.77}","{gust: 15.65, deg: 248, speed: 6.26}"
20241207_0500,"{pressure: 992, temp_min: 9.45, humidity: 75, grnd_level: 987, sea_level: 992, feels_like: 9.63, temp: 10.56, temp_max: 11.19}","{gust: 15.43, deg: 230, speed: 9.26}"
20241207_0600,"{pressure: 991, temp_min: 8.89, humidity: 74, grnd_level: 987, sea_level: 991, feels_like: 5.73, temp: 9.68, temp_max: 10.85}","{gust: 19.03, deg: 230, speed: 10.29}"
20241207_0700,"{pressure: 990, temp_min: 8.3, humidity: 76, grnd_level: 986, sea_level: 990, feels_like: 5.04, temp: 9.24, temp_max: 10.1}","{gust: 18.01, deg: 230, speed: 10.8}"
20241207_0800,"{pressure: 989, temp_min: 7.79, humidity: 73, grnd_level: 985, sea_level: 989, feels_like: 4.26, temp: 8.96, temp_max: 9.58}","{gust: 19.03, deg: 240, speed: 12.86}"
20241207_0900,"{pressure: 989, temp_min: 6.56, humidity: 81, grnd_level: 985, sea_level: 989, feels_like: 2.22, temp: 7.52, temp_max: 8.62}","{gust: 21.61, deg: 250, speed: 13.38}"
20241207_1000,"{pressure: 989, temp_min: 5.84, humidity: 87, grnd_level: 984, sea_level: 989, feels_like: 0.88, temp: 6.38, temp_max: 7.49}","{gust: 19.03, deg: 240, speed: 12.35}"
20241207_1100,"{pressure: 988, temp_min: 5.65, humidity: 88, grnd_level: 984, sea_level: 988, feels_like: 1.09, temp: 6.37, temp_max: 7.24}","{gust: 19.03, deg: 250, speed: 11.32}"
